2,10,5,9
2,6,5,6
2,2,5,5
7,2,7,5
10,2,10,6
14,5,12,8
16,7,14,10
18,9,16,12
21,12,19,15
23,12,23,15
25,12,27,14
26,10,29,12
26,7,29,7
26,5,30,6
30,3,30,6
32,3,30,6
34,5,31,8
36,8,33,11
38,12,36,15
40,14,39,17
43,13,43,17
47,11,47,15
51,11,49,14
52,14,49,14
52,16,49,14
49,18,46,16
46,20,43,17
44,21,41,19
44,21,41,21
44,21,42,24
48,22,48,25
51,22,51,25
54,25,51,25
54,27,51,25
51,28,51,25
46,28,46,25
42,28,42,25
40,28,38,25
39,30,36,27
39,29,36,39
41,32,38,34
43,35,40,36
43,38,40,38
43,40,40,38
40,41,40,38
37,40,39,37
34,37,36,34
31,34,33,31
29,32,31,29
27,31,27,28
27,31,24,31
27,33,24,33
27,36,24,36
27,39,24,39
27,41,24,41
26,41,24,41
23,44,23,41
19,42,22,40
19,37,19,33
19,37,21,34
18,37,18,33
15,36,15,33
12,35,12,32
9,35,9,32
6,34,7,31
4,33,6,30
3,30,6,30
4,27,6,30
9,26,9,29
12,26,12,29
13,25,16,28
13,25,16,25
13,25,15,22
11,24,11,21
8,24,8,20
5,22,7,19
4,19,7,19
4,16,7,18
7,14,10,15
7,13,10,13
6,12,9,10
6,12,6,9
3,11,5,8
2,8,5,8
